Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
MIAC,2026,men,miac_2026,50 Free,20.70,21.31,21.80,20.7,21.31,21.8,0.0733,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,men,miac_2026,100 Free,45.26,47.52,48.81,45.26,47.52,48.81,0.2367,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,men,miac_2026,200 Free,1:42.01,1:46.78,1:53.02,102.01,106.78,113.02,0.734,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,men,miac_2026,500 Free,4:29.70,4:48.44,4:57.05,269.7,288.44,297.05,1.8233,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,men,miac_2026,1650 Free,15:32.16,17:21.68,23:38.58,932.16,1041.68,1418.58,32.428,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,men,miac_2026,100 Back,50.03,54.19,58.16,50.03,54.19,58.16,0.542,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,men,miac_2026,200 Back,1:51.51,2:02.27,2:07.96,111.51,122.27,127.96,1.0967,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,men,miac_2026,100 Breast,53.76,59.05,1:03.82,53.76,59.05,63.82,0.6707,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,men,miac_2026,200 Breast,2:04.28,2:12.02,2:19.46,124.28,132.02,139.46,1.012,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,men,miac_2026,100 Fly,49.66,51.15,53.59,49.66,51.15,53.59,0.262,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,men,miac_2026,200 Fly,1:51.56,1:57.88,2:19.98,111.56,117.88,139.98,1.8947,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,men,miac_2026,200 IM,1:52.80,2:00.30,2:04.27,112.8,120.3,124.27,0.7647,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,men,miac_2026,400 IM,3:57.55,4:20.03,4:44.28,237.55,260.03,284.28,3.1153,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,women,miac_2026,50 Free,23.18,24.43,24.85,23.18,24.43,24.85,0.1113,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,women,miac_2026,100 Free,50.99,54.05,55.52,50.99,54.05,55.52,0.302,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,women,miac_2026,200 Free,1:54.24,1:57.63,2:00.10,114.24,117.63,120.1,0.3907,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,women,miac_2026,500 Free,5:06.82,5:20.69,5:24.60,306.82,320.69,324.6,1.1853,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,women,miac_2026,1650 Free,17:37.69,18:33.12,19:16.75,1057.69,1113.12,1156.75,6.604,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,women,miac_2026,100 Back,56.59,59.40,1:02.29,56.59,59.4,62.29,0.38,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,women,miac_2026,200 Back,2:03.47,2:10.02,2:16.46,123.47,130.02,136.46,0.866,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,women,miac_2026,100 Breast,1:04.66,1:08.76,1:10.96,64.66,68.76,70.96,0.42,2026_miac-sd-results_Final.pdf,finals,,,
MIAC,2026,women,miac_2026,200 Breast,2:20.99,2:31.05,2:36.64,140.99,151.05,156.64,1.0433,2026_miac-sd-results_Final.pdf,finals,,,
