Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality
GLIAC,2026,men,gliac_2026,50 Free,19.68,19.89,20.33,19.68,19.89,20.33,0.0433,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,men,gliac_2026,100 Free,43.85,44.42,45.02,43.85,44.42,45.02,0.078,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,men,gliac_2026,200 Free,1:38.34,1:38.69,1:39.31,98.34,98.69,99.31,0.0647,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,men,gliac_2026,500 Free,4:28.37,4:32.21,4:32.35,268.37,272.21,272.35,0.2653,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,men,gliac_2026,1000 Free,9:20.57,9:21.12,9:38.97,560.57,561.12,578.97,1.2267,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,men,gliac_2026,1650 Free,15:44.49,15:49.91,16:21.16,944.49,949.91,981.16,2.4447,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,men,gliac_2026,100 Back,47.98,49.07,49.99,47.98,49.07,49.99,0.134,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,men,gliac_2026,200 Back,1:46.90,1:51.94,1:52.82,106.9,111.94,112.82,0.3947,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,men,gliac_2026,100 Breast,53.77,55.53,56.54,53.77,55.53,56.54,0.1847,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,men,gliac_2026,200 Breast,2:01.00,2:02.80,2:04.08,121.0,122.8,124.08,0.2053,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,men,gliac_2026,100 Fly,47.08,47.82,49.45,47.08,47.82,49.45,0.158,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,men,gliac_2026,200 Fly,1:48.38,1:50.53,1:53.32,108.38,110.53,113.32,0.3293,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,men,gliac_2026,200 IM,1:48.67,1:50.19,1:52.04,108.67,110.19,112.04,0.2247,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,men,gliac_2026,400 IM,3:56.17,4:00.49,4:04.17,236.17,240.49,244.17,0.5333,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,women,gliac_2026,50 Free,22.89,24.03,24.64,22.89,24.03,24.64,0.1167,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,women,gliac_2026,100 Free,49.82,52.18,53.40,49.82,52.18,53.4,0.2387,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,women,gliac_2026,200 Free,1:47.60,1:53.07,1:56.65,107.6,113.07,116.65,0.6033,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,women,gliac_2026,500 Free,4:56.82,5:04.36,5:19.00,296.82,304.36,319.0,1.4787,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,women,gliac_2026,1000 Free,10:13.05,10:30.45,11:24.09,613.05,630.45,684.09,4.736,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,women,gliac_2026,1650 Free,17:17.20,17:53.73,18:40.43,1037.2,1073.73,1120.43,5.5487,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,women,gliac_2026,100 Back,56.61,57.79,59.36,56.61,57.79,59.36,0.1833,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,women,gliac_2026,200 Back,2:00.75,2:05.88,2:11.51,120.75,125.88,131.51,0.7173,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,women,gliac_2026,100 Breast,1:02.19,1:04.43,1:07.37,62.19,64.43,67.37,0.3453,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,women,gliac_2026,200 Breast,2:15.47,2:22.14,2:30.85,135.47,142.14,150.85,1.0253,GLIAC_2026_Final_Results.pdf,finals
GLIAC,2026,women,gliac_2026,100 Fly,55.88,57.57,59.67,55.88,57.57,59.67,0.2527,GLIAC_2026_Final_Results.pdf,finals
