Source_File,Bundle_ID,Conference,Year,Gender,Event,Issue
GLIAC_2026_Final_Results.pdf,gliac_2026,GLIAC,2026,combined,,Combined/unknown file — parsing both sections (combined)
GLIAC_2026_Final_Results.pdf,gliac_2026,GLIAC,2026,,,Team scores not found in any bundle file
odac 2026 MENS swim-full-results.pdf,odac_2026,ODAC,2026,,,Multi-column layout detected (multi_column_2): 38 page(s) reordered column-by-column
odac 2026 WOMENS swim_results.pdf,odac_2026,ODAC,2026,,,Multi-column layout detected (multi_column_2): 19 page(s) reordered column-by-column
odac 2026 WOMENS swim_results.pdf,odac_2026,ODAC,2026,women,,Women-only file — men's anchors skipped; extracting women's events
"odac 2026 MENS swim-full-results.pdf, odac 2026 WOMENS swim_results.pdf",odac_2026,ODAC,2026,,,Team scores not found in any bundle file
odac 2026 MENS swim-full-results.pdf,odac_2026,ODAC,2026,men,50 Free,Only prelim results found — no finals detected
odac 2026 MENS swim-full-results.pdf,odac_2026,ODAC,2026,men,100 Free,Only prelim results found — no finals detected
odac 2026 MENS swim-full-results.pdf,odac_2026,ODAC,2026,men,200 Free,Only prelim results found — no finals detected
odac 2026 MENS swim-full-results.pdf,odac_2026,ODAC,2026,men,500 Free,Only prelim results found — no finals detected
odac 2026 MENS swim-full-results.pdf,odac_2026,ODAC,2026,men,1650 Free,Only prelim results found — no finals detected
odac 2026 MENS swim-full-results.pdf,odac_2026,ODAC,2026,men,100 Back,Only prelim results found — no finals detected
odac 2026 MENS swim-full-results.pdf,odac_2026,ODAC,2026,men,200 Back,Only prelim results found — no finals detected
odac 2026 MENS swim-full-results.pdf,odac_2026,ODAC,2026,men,100 Breast,Only prelim results found — no finals detected
odac 2026 MENS swim-full-results.pdf,odac_2026,ODAC,2026,men,200 Breast,Only prelim results found — no finals detected
odac 2026 MENS swim-full-results.pdf,odac_2026,ODAC,2026,men,100 Fly,Only prelim results found — no finals detected
odac 2026 MENS swim-full-results.pdf,odac_2026,ODAC,2026,men,200 Fly,Only prelim results found — no finals detected
odac 2026 MENS swim-full-results.pdf,odac_2026,ODAC,2026,men,200 IM,Only prelim results found — no finals detected
odac 2026 MENS swim-full-results.pdf,odac_2026,ODAC,2026,men,400 IM,Only prelim results found — no finals detected
odac 2026 WOMENS swim_results.pdf,odac_2026,ODAC,2026,women,50 Free,Only prelim results found — no finals detected
